method_name,total_segments,normal_segments,anomaly_segments,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,tn,fp,fn,tp
spectral_centroid_slope,12830,6416,6414,0.8515198752922837,0.8506998444790047,0.852689010132502,0.8516932658622032,1091,192,189,1094
max_spectral_centroid,12464,6248,6216,0.8427597272362616,0.8473469387755102,0.835076427996782,0.8411669367909238,1063,187,205,1038
fixed_length,7766,3922,3844,0.7850707850707851,0.7896138482023968,0.7711313394018205,0.7802631578947369,627,158,176,593
labeled,4148,3642,506,0.9180722891566265,1.0,0.32673267326732675,0.4925373134328358,729,0,68,33
