method_name,total_segments,train_segments,test_segments,normal_segments,anomaly_segments,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,normal_states,anomaly_states
fixed_length,7766,6217,1549,3922,3844,0.5171078114912847,0.48370044052863437,0.7721518987341772,0.5947995666305526,4,4
spectral_centroid_slope,12830,10275,2555,6416,6414,0.5221135029354207,0.48429510591672753,0.5628183361629882,0.5206124852767963,4,4
max_spectral_centroid,12464,10000,2464,6248,6216,0.49594155844155846,0.45752608047690013,0.5443262411347518,0.497165991902834,4,4
labeled,4148,3321,827,3642,506,0.5912938331318017,0.17355371900826447,0.6237623762376238,0.27155172413793105,4,3
