method_name,total_segments,normal_segments,anomaly_segments,normal_train,normal_val,normal_test,anomaly_test,threshold_log_likelihood,accuracy,precision_anomaly,recall_anomaly,f1_anomaly,tn,fp,fn,tp
spectral_centroid_slope,12830,6416,6414,3849,1283,1284,6414,-62.46402897403999,0.21005455962587685,0.7277701778385773,0.08294356096039912,0.14891532540237928,1085,199,5882,532
max_spectral_centroid,12464,6248,6216,3748,1249,1251,6216,-62.87399566972588,0.20624079282174904,0.7097242380261248,0.07866795366795366,0.14163649529326575,1051,200,5727,489
fixed_length,7766,3922,3844,2353,784,785,3844,-64.95783015198126,0.20630805789587384,0.7248677248677249,0.0712799167533819,0.12979630506868783,681,104,3570,274
labeled,4148,3642,506,2185,728,729,506,-65.74836485166045,0.5198380566801619,0.1958041958041958,0.05533596837944664,0.08628659476117104,614,115,478,28
