method_name,feature,importance
max_spectral_centroid,spectral_rolloff_std,0.01920007263433571
max_spectral_centroid,spectral_flatness_mean,0.017807753830251613
max_spectral_centroid,spectral_flatness_std,0.016621756157757385
spectral_centroid_slope,mfcc_4_mean,0.04058207390930641
spectral_centroid_slope,mfcc_1_mean,0.035434523484847026
spectral_centroid_slope,mfcc_2_std,0.03363067375296129
spectral_centroid_slope,mfcc_3_mean,0.03269825323637616
spectral_centroid_slope,mfcc_5_mean,0.03229141697663402
spectral_centroid_slope,rms_mean,0.03118708374980878
spectral_centroid_slope,mfcc_8_mean,0.030713092468827384
spectral_centroid_slope,mfcc_10_std,0.02963897439228344
spectral_centroid_slope,mfcc_2_mean,0.029229685640819538
spectral_centroid_slope,mfcc_6_mean,0.029093302017419834
spectral_centroid_slope,mfcc_9_mean,0.02833832971532415
spectral_centroid_slope,mfcc_10_mean,0.02829402248776966
spectral_centroid_slope,mfcc_9_std,0.028069127852284874
spectral_centroid_slope,zcr_mean,0.027692741538114903
spectral_centroid_slope,mfcc_5_std,0.027678671343699335
spectral_centroid_slope,rms_std,0.027551445218221105
spectral_centroid_slope,spectral_bandwidth_std,0.02736831969747342
spectral_centroid_slope,mfcc_7_mean,0.02718985989631155
spectral_centroid_slope,mfcc_12_mean,0.026744277312419348
spectral_centroid_slope,mfcc_11_mean,0.026115828957132575
spectral_centroid_slope,mfcc_13_mean,0.02595384808201503
spectral_centroid_slope,mfcc_6_std,0.02529002512962503
spectral_centroid_slope,spectral_bandwidth_mean,0.025125646804933278
spectral_centroid_slope,spectral_centroid_mean,0.025086045407805003
spectral_centroid_slope,mfcc_3_std,0.024124277721272305
spectral_centroid_slope,mfcc_4_std,0.024034413633958796
spectral_centroid_slope,mfcc_7_std,0.023196109389105976
spectral_centroid_slope,mfcc_1_std,0.022741257786612245
spectral_centroid_slope,spectral_rolloff_mean,0.02270004338856643
spectral_centroid_slope,mfcc_11_std,0.02209675972010571
spectral_centroid_slope,mfcc_13_std,0.0218592561457916
spectral_centroid_slope,mfcc_8_std,0.021843221355882327
spectral_centroid_slope,spectral_centroid_std,0.021294481692273975
spectral_centroid_slope,zcr_std,0.02087618951786508
spectral_centroid_slope,mfcc_12_std,0.01957934661410071
spectral_centroid_slope,spectral_rolloff_std,0.019431880454091093
spectral_centroid_slope,spectral_flatness_mean,0.01777486500215771
spectral_centroid_slope,spectral_flatness_std,0.017450628505802764
